,Article
6018,"Bugüne bakıyoruz; bugün de farklı değil, kadın ona biçilen tüm o rollerin;  anne, eş, çalışan kadın, iyi evlat, iyi anne, iyi aşçı, iyi temizlikçi, iyi gelin… rollerinin altında ezilirken , kendini bilmezin biri kalkıp pilli ana kucağına ihtiyaç duyan, alan, kullananlar için sevgisiz analar diyor; geçmişin vefakar, cefakar kadınların kalmadığından dem vuruyor, onlara özlem duyulduğundan bahsediyor. Özlem duyuyor çünkü artık adına “dırdır” dediği hiç dinlemediği sesleri duyuyor.  Özlem duyuyor çünkü artık kadından beklentilerini azaltmak zorunda kalıyor, çünkü kadının da en az onun kadar çalıştığını gösteren bir kanıtı var elinde; para… Özlem duyuyor çünkü artık ayağını yıkamaya hazır kadınlar yok etrafta. Özlem duyuyor çünkü, tamirat işlerini de yapan kadın, evde hiçbir işe yaramayan bir erkeği istemiyor, ihtiyaç duymuyor, onun başında duruyor olmasıyla ilgili bir minnet duygusu yok."
6019,"Onlar geçmişte kaldı diyenler olacaktır elbet, onlarla istatistiklere dayanarak konuşmak isterdim, kaç kadının depresyonda olduğunu, yalnızlığa itildiğini, kaçının intiharın eşliğinde olduğunu, kaçının intihar ettiğini, kaçının eşinden fiziksel ve duygusal şiddet gördüğünü, istismara uğradığını… Ama maalesef, tüm bu istatistiklere bilinçli olanlarımız dahi gözünü kapatmış durumda."
6020,"Eski zamanlardaki gibi değil; çünkü kadın artık işe gidiyor, sosyal olarak eşit  gibi gözüküyor. İşe gidiyor ve tecrübe olarak, zeka olarak, iş olarak kendisinden alt seviyelerde bir erkekten az maaş alıyor ama yine de ve buna da sesini çıkarmadan çalışmaya devam etmek zorunda… Bir yere kadar. Bilin diye söylüyorum; biz artık susmuyoruz!  Sesimizi duyurabildiğimiz her yerde anlatacağız ve nefret ettiğiniz kapitalizm bizi her yere soktu."
6021,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
6022,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
6023,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
6024, 
6025,Konuk Yazar: Haşemo Burkini
6026,"Birkaç haftadır Fransa’da vukuu bulan burkini giyme yasağını takip ediyorum. Burkini, yani bildiğimiz haşema! Önce yasaklandı. Sonra yasak daha yürürlüğe girmeden tepkiyle karşılandı. Daha sonra plajda oturan yemenili bir kadının başına dikilip ondan -burkiniye bile benzemeyen- burkinisini çıkarmasını isteyen polislerin de aynı karede olduğu bir fotoğraf sosyal medyada paylaşılınca olaylar büyüdü. Ve en nihayetinde Fransız hükümeti geri adım attı. Yasak kalktı. Peki bu yazı nereden çıktı?"
6027,"Geçen hafta Çeşme’de muhafazakar bir otelin koyunda kız kardeşimle beraber yüzerken tadsız bir olay yaşadık. Bizim giydiğimiz burkini, karı-koca Fransız, plaj da halka açık değildi. Bizim mevzu haşemasız yüzebilme lüksümüze göz dikilmesiydi! Zirâ biz hâlâ burkinilileşmemiştik! Konunun sosyolojik boyutuna anlam katması açısından şu twit şurada bir yerde duradursun,"
6028,
6029,"Ben yazmaya devam edeyim,"
6030,"Ne yapalım biz (abla-kardeş) denizle taaa çocukken tanışmıştık. Halimiz vaktimiz yerindeydi ki her yıl kendisiyle hep karşılaştık. Büyüdük, örtündük, modernisttik de sömürüldüğümüzü bile bile daha çok paralar ödeyerek kendisiyle buluşmaya devam ettik. “Denizin hatrına” dedik hep, “denizin hatrına”. Şartları zorlayıp alternatifler de ürettik, gün geldi Ayşe Arman’ın kişisel macerasının nesnesine de dönüştük. Ama yılmadık. Azimle her yaz yüzmeye devam ettik. En sonunda Çeşme’de bir otel keşfettik. Türevlerine göre pahalı, kendi kulvarı muhafazakar oteller zincirine göre kısmen daha ucuz oteli haşemasız denize girebileceğimiz için aileden biri gibi kabul ettik. Otelimiz sessiz, sakin, Çeşme’nin biraz dışında bir koya kurulmuş. Önceleri çıplaklar kampı iken sonraları muhafazakar yeşil sermayenin kokusunu alınca hidayete ermiş. Kadınların denize gireceği günler ve saatler belirlenip, diğer otellerde olduğu gibi denize değil de otelin önüne branda çekilince, tesettürlü kadınlara uçsuz bucaksız bir deniz lüksü sunmaya başlamış. Güzel yurdumuzun muhtelif yerlerinde açılıp “oldukça demokratik” tepkilerle karşılanan Esenler, Menekşe, Antalya kadınlar plajları gibi skandal haberlerle gündeme de gelmemiş haliyle. Parayı veren düdüğü çalmış. Bir düdük de bize kalmış. "
6031,"Düdüğü almış, gayet halimizden memnun bize ayrılan sürenin içinde denizde yüzerken hemen yandaki diğer muhafazakar otelin merdivenlerinden hızla aşağı inen karı kocayla karşılaştık. Gelmeyin buraya diye el, kol hareketi yapsak da tam gaz inip koyun kenarına kuruldular. (Burada bir antiparantez açayım. Bizim otel aslında yanlız değil. Hemen yanında başka bir otel daha var. Bizim otelin de tek koyu otelin önü değil, yan koy da ona ait. İki otel anlaşınca üç koy birden bize seyran olmuş anlayacağınız. Koy dediğimde de bir Pırlanta değil tabii ki. – Sınırları aşınca ne olur, hepimiz haddimizi gayet iyi biliyoruz. Bu arada o tartaklayan kadın 5 ay ceza da almış ama bu konuyu daha sonra dağıtırım-  Gayet boy boy yosunlu, taşlık, kayalık, deniz kestaneli, kayaların arasında minik ahtapotların saklandığı kolay kolay kimsenin tercih etmeyeceği şirincecik bir yer. Neyse koyumuzu bırakalım, hikâyemize başlayalım.) "
6032,"Karı kocayı görünce dipten tepeden yüze yüze çıktık denizden. Kardeşim pür tesettüre bürünüp, yan koya bizim gaspçıların yanına gitti. 20 dakikalık bir konuşmanın ardından sinirli sinirli geri döndü. Adam Çeşme’nin yerlisiymiş de, dalış yapacakmış da, burayı zaten biliyormuş da, bizim oramıza buramıza meraklı değilmiş de, kul hakkı neymiş ki bu onun yasal hakkıymış da, onu burdan çıkaramazmışız da derken üstüne bir de bizim kıza bakıp karşısında karpuz da yiyince bizimki dellenmiş dönmüş. “Karısı da örtülü üstelik” deyince beni de delledi haliyle. Plaj görevlisini de alıp bu kez şahsen, bizzat, kendim pür tesettür halimle sevgili-saygılı çiftimizin yanına gittim. Koca çoktan denizde. Bir elimi koydum belime, toplumsal normlarımızdan ilk kozumu sürdüm önüne: "
6033,"– Hanfendi sizden güzelce çıkmanızı rica ettik. Bakın bir tadsızlık olsun istemiyoruz. Beyfendi oramıza buramıza meraklı olmayabilir ama brandanın arkasında da babalarımızı, kocalarımızı biz zor tutuyoruz. "
6034,"– Evet, farkındayım. Ben de tadsızlık çıksın istemem ama biz bunun bilincinde insanlarız. Benim kocam da hocadır. Size zaten bakmaz. Üstelik…"
6035,Devamını dinlerdim ben. Aslında gayet iyi bir dinleyici sayılırım ben. Çok çok saygılı bir dinlerim. Hocaymış. O zaman hadisten gireyim konuya. Nasıl başlasam. Hz. Peygamber’in eşleri bir gün otururken âmâ bir sahabi gelir. Hanımların yüzleri açıktır ve kapamazlar. Hz. Peygamber kapamalarını buyurur. Hanımlar “O âmâ değil mi?” diye sorar. Hz. Peygamber “Siz de mi âmâsınız? Onu görmüyor musunuz?” der… 
6036,-Dediğim gibi benim kocam hocadır.
6037,–  Bu yaptığınızı Hristiyanlar bile yapmaz. Burdan girerim hadise.
6038,–  Üstelik o dalgıç. Denizin üstüyle alakası yok. Kaşınıyorsun ama sen şimdi. Kıyıda yüzmü.. Benden günah geldi de gitti o zaman.
6039,"-Hanfendi ben de haşemayla yüzmüyorum. Üstelik açıkta yüzmekten hoşlanıyorum. Suyun üstünden de değil, altından gidiyo…"
6040,"-Tamam, tamam. Siz gidin, ben onunla konuşacağım. Dur yahu nereye gidiyorsun? Daha dulum diyecektim."
6041,-Burada daha fazla beklemenize gerek yok.
6042,-Gidelim mi? Yoksa bekleyecek miyiz?
6043,"-Bekleyeceğiz. Hele bir çıksın adam. Daldı gidiyor. Gülsem, gülemiyorum. Çat kaşını kızım. Kadına kadınlık kozunu oynadın madem sonuna kadar arkasında dur. Nasıl etekleri tutuştu ama? Gülme dedim. Geliyor."
6044,"– Maalesef çıkmıyor. Ama ben konuştum burnun dışına yüzecek. O tarafa gelmeyecek. Ben buradayım. İzin vermem demek istiyor. Sen ne biçim örtülüsün desem, demiyorum. Biraz daha bel altı vurup intikam almak istiyorum."
6045,-Allah sabır versin bu kocayla.
6046,"-Evet, oğlaktır kendisi. Ooo seviyor bu, tıkadın intikamımı mideme."
6047,– O zaman günahı boynunuza. İyi günler…
6048,"Tıpış, tıpış döndük koyumuza. Otelin diğer sakinlerine durumu anlattık. Hocaymış dedim, “Adnan Hoca mıymış?” dedi biri. Biri “Paralel miymiş yoksa?” dedi. Bir diğeri “Provakatördür onlar” dedi. Bir başkası “Kocasıyla yüzecek diye ben burda sıkıntı mı çekicem?” dedi. Öbürü “Amaan size mi bakcak o kadar mesafeden?” dedi. Ayıptı, günahtı, haktı diye söylenirken biz dahil hepimiz adamı kolaçan edip yeniden girdik denize. Bize ayrılan sürenin sonuna gelip denizden çıktığımızda ikisi de yoktu görünürde."
6049,Geriye yalnızca karpuz kabukları ve… 
6050, 
6051, 
6052, 
6053,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
6054,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
6055,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
6056,
6057,Fotoğraf: Lissy Elle
6058,"Herkese az depresyonlu, az kaygılı bayramlar diliyoruz. Bulaşıkları da paylaşalım lütfen. "
6059,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
6060,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
6061,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
6062,Konuk Yazar: Angie
6063,Görsel: Rania Matar
6064,"Sosyal ağlarda ‘aile candır’ konseptli paylaşımlar gördüğüm zaman ilkokulda her çocuğun ana babasının ihmaline ya da fiziksel ve ruhsal istismarına maruz kalmadığını anladığımda yaşadığıma benzer bir şaşkınlık ve kızgınlık yaşardım. Tabi ilkokulda da mesela yanıma Erzincan Depremi’nde babasını kaybedip gelmiş bir kız oturtmuşlardı. Kız bana tanışmamızın hemen akabinde ‘babam asansörde sıkıştı’ demişti. Ben de ona ‘seni çok dövüyor muydu?’ diye sormuştum. Sanırım o dönem sürekli ‘babam bugün ölsün Allah’ım n’olursun’ gibi dualar etmeden uyumadığım için beynim bu ihtimale sarılmıştı. Sanki dünyadaki bütün çocuklar her gece yatmadan önce babasının işe gidip akşam eve dönmemesi için dua ediyordu ve bu kızınki kabul olmuştu. Ben de bundan emin olmak istiyordum. ‘Seni çok dövüyor muydu’ dedim kız da bana ‘hayır hiç dövmezdi’ dedi. Hayır ya. Yalan söylüyor. Nasıl olur da çocuklarına, karısına hiç aksatmadan, itinayla işkence eden babalar dururken zararsız babalar depremde asansörlere sıkışırdı Allah’ım bu haksızlık? Ben akşam babamın olduğu eve gidip kardeşim ve annemle dayak yiyecektim, bu kız ise kendisini dövmeyen babasının olmadığı bir eve gidip üzülecekti. Akıl alır gibi değil. (Tanrı’nın o şekilde çalışmadığının anlaşıldığı anlar)"
6065,"Yıllar yılları kovaladı dersem yalan olur. Şimdilerde ‘zehirli ebeveyn’ denen bu türle yaşanan yıllar asla birbirini kovalamaz. İhmalle, şiddetle, hakaretle, suçlamalarla, rol çalmalarla tıka basa doldurulmuş olan zaman hiç akıp gidemez. Karabasan gibi mümkün olduğunca ağır çekimlenir. Daima uzar ve tekrarlanır. Ben babamın evinden kurtulduğumda 18 yaşındaydım. ama 18 yaşıma gelmem bir 30 sene kadar sürdü. Başımı iyi korudum, iyi mevkilendim, daha çok sinirlenmesin diye ağlamadım, yalvarmadım. Fakat bunların hiçbiri sayesinde değil tamamen şans eseri hayatta kaldım. Kardeşim ve annem de öyle. Çıplak elle de vurdu, jopla da vurdu, terlikle de, yumrukla da, çatal da soktu, burun da kırdı. Biz de tesadüfen ölmedik. Şimdi de bu şansımızın şerefine size bir şeyler anlatmaya geldim."
6066,"Çocukların ihmalkar ve istismarcı ana babalarından gördükleri muamelenin normal olmadığını anlamaları uzun sürmez ve bu konuya verecekleri tepki son derece önemlidir. Ben bunun ilk ayağını yetim bir depremzede sayesinde yaşamış oldum. İkinci ayağı ise asırlar sonra çok ama çok güzel bir şeyle birlikte -ama asla onu gölgeleyemeden- tetiklenecekti. Tamam dedim ya. Tamam ben büyüyeyim burdan çıkar kurtulurum. Bana asla vurmayan, kötü konuşmayan yakışıklı ve güzel gözlü bir adam bulurum. Kendime yeni baştan bir aile yaparım. Kapımı da kapatırım, iyice kilitlerim babam giremez. Kusursuz kaçış planı. Aynen de öyle yaptım. (Aynen de öyle yapmam yazıldığı kadar kolay olmadı, kendimi böyle biri tarafından sevilebileceğime ikna etmem de nerden baksan bir 20 sene, eser miktarda bedensel ve ruhsal bütünlükten -farklı yerlerde, farklı şekillerde, değişen şiddetlerde- feragat etmeyi sürdürerek geçti.)"
6067,"İlk bebeğimizi kucağımıza aldığımızda insanlar ‘nasılmış ana babalık ne zor değil mi ama?’ dediler. ‘bunlar iyi günlerin’ dediler. ‘hayırlı evlat olsun’ dediler. ‘anneni şimdi anladın mı?’ dediler. Bekledim ama anneliğin bebek olmaktan daha zor olduğu o kısım hiç gelmiyordu. Geceleri bebeğimi uykusunda izlerken ilkin bi iki güzel şey düşünüyordum. İşte güldüğünü göreceğim, anne diyecek, yürüyecek, gününü anlatacak… ama sonra hemen böyle dünyadan bihaber yatışı içime oturmaya başlıyordu. Şu evden çıkıp gitsek ve başımıza bi şey gelse burada öylece duracak, biçare bekleyecek, belki ağlamaktan çatlayacak, baygın düşecek diyordum. Ne zor Allah’ım hemen büyüsün, kendine yetsin diyordum. Bebek olmak çok zor. Çocuk olmak çok zor. Doğrulup kalkamamak, çıkıp gidememek çok zor. Bir evde, odada başkasının eline bakmaya mahkum olmak çok zor."
6068,"Zamanla bu bebek beşiği başındaki merhamet seanslarımın içeriği zenginleşmeye başladı. Anneliğin ne olduğunu anlamaya başladıkça, bir çocuğun sorumluluğunun ne olduğunu anlamaya başladıkça tepem de atmaya başladı. Mevzu artık benim bebeğimden çıkmıştı. Artık sadece geceleri değil, bebeğimle oyun oynarken, parka giderken, yemek yerken işte bir çocukla yapılması gereken ne kadar iş varsa onları yaparken de yüzüm düşünce bulutları ile gölgelenmeye başladı. ‘bize bunu nasıl yaptılar?’ ana sorumdu. Kendi çocukluğumu çocuğumunki ile karşılaştırmaya başladım. kardeşimin hallerini düşünüyordum. Annesi ağlarken başında bekleyip ‘annecim nolur ağlama’ diye saçlarını sevişi aklıma geliyordu. Bir çocuk her gün yediği dayağın sıcaklığı etinden geçmemişken annesini teselli etmek zorunda bırakılmış, yatağının altında, dolabının içinde, banyoda, tuvalette korkuyla kapının açılmasını beklemiş. yeri gelmiş donuna yapmış, yeri gelmiş ağzı burnu kanamış. doğru söylese de dayak yemiş, yalan söylese de. uslu dursa da küfür yemiş yaramazlık yapsa da."
6069,"Bütün iğrenç, kokuşmuş detaylar su yüzüne çıkmaya başlamıştı. ben ve kardeşim — yani çocukluğunu bildiğim yegane 2 insan- kendi çocuğummuşçasına bir delirme geliyordu. Vahşi bir hayvan gibi öfkelenip hırçınlaşıyordum ve bütün bu öfkeyle yapabileceğim hiçbir şey yoktu. Alabileceğim bir intikam, bir kafa, bir el, bir can yoktu. Bizi yatağımızın altından çekip çıkaran ve sıkılana kadar hırpalayan insan filmlerdeki gibi öldürülmesi pek tatmin edici ve kolay kötü adamlardan biri değil babamızdı. Ondan intikam almam pek havalı olmaz, hoş karşılanmazdı. Bu hikayeyi kimse satın almazdı. Tabi biraz da ben öldürmeye gönüllü değildim, yalan yok. Affetmeye meyilliydim ama af dilemiyordu."
